,10_2_P_R_A__0,10,2,25.0,2.57,117.02,21.45,64.0,Kluster
0,10_2_P_R_A__1,10,2,23.09,2.36,119.45,21.64,78.5,1
1,10_2_P_R_A__2,10,2,22.09,2.12,118.73,19.91,86.0,1
2,10_2_P_R_A__3,10,2,25.95,2.4,121.75,22.18,79.0,1
3,10_2_P_R_A__4,10,2,21.55,2.67,114.53,18.82,121.33,16
4,10_2_P_R_F__0,10,2,23.27,2.57,124.03,20.09,106.75,16
5,10_2_P_R_F__1,10,2,18.18,2.32,112.0,14.36,60.8,4
6,10_2_P_R_F__2,10,2,20.68,2.78,124.66,16.09,67.2,1
7,10_2_P_R_F__3,10,2,26.5,2.53,125.19,24.36,86.43,1
8,10_2_P_R_F__4,10,2,27.27,3.0,126.38,24.73,77.43,1
9,10_2_P_R_M__0,10,2,24.36,2.51,125.31,18.45,110.0,16
10,10_2_P_R_M__1,10,2,18.32,2.43,119.98,14.73,71.75,1
11,10_2_P_R_M__2,10,2,23.73,2.62,123.39,21.09,72.0,1
12,10_2_P_R_M__3,10,2,19.14,2.66,119.31,16.82,103.33,16
13,10_2_P_R_M__4,10,2,19.05,2.4,131.59,14.55,64.25,1
14,10_2_P_S_A__0,10,2,19.82,2.46,24.86,12.0,66.0,10
15,10_2_P_S_A__1,10,2,22.77,2.81,23.88,15.64,57.5,10
16,10_2_P_S_A__2,10,2,26.45,2.2,21.26,24.18,121.33,7
17,10_2_P_S_A__3,10,2,25.27,2.2,21.47,22.73,67.4,10
18,10_2_P_S_A__4,10,2,25.41,2.3,23.65,21.18,123.33,7
19,10_2_P_S_F__0,10,2,24.5,2.12,22.05,20.18,97.0,7
20,10_2_P_S_F__1,10,2,16.09,2.7,21.31,13.27,60.4,10
21,10_2_P_S_F__2,10,2,21.45,2.65,22.03,17.36,90.4,7
22,10_2_P_S_F__3,10,2,26.5,2.42,24.38,23.82,92.5,7
23,10_2_P_S_F__4,10,2,25.91,2.27,23.97,22.18,83.0,7
24,10_2_P_S_M__0,10,2,29.59,3.14,23.31,26.18,86.33,7
25,10_2_P_S_M__1,10,2,27.59,2.23,25.24,25.18,79.0,10
26,10_2_P_S_M__2,10,2,21.05,2.31,24.64,15.64,72.0,10
27,10_2_P_S_M__3,10,2,22.18,2.5,25.26,17.55,54.5,3
28,10_2_P_S_M__4,10,2,24.86,2.14,26.17,20.73,80.8,10
29,10_2_Se_R_A__0,10,2,21.36,19.55,123.17,16.91,81.67,18
30,10_2_Se_R_A__1,10,2,21.41,12.66,118.33,15.91,70.67,9
31,10_2_Se_R_A__2,10,2,24.5,20.81,120.63,20.27,67.75,9
32,10_2_Se_R_A__3,10,2,21.32,18.98,122.81,16.55,114.0,16
33,10_2_Se_R_A__4,10,2,22.73,18.01,106.93,18.27,70.0,9
34,10_2_Se_R_F__0,10,2,19.77,16.52,117.16,16.73,90.5,18
35,10_2_Se_R_F__1,10,2,30.0,23.44,111.83,25.82,87.43,18
36,10_2_Se_R_F__2,10,2,21.32,22.66,133.17,16.09,62.83,9
37,10_2_Se_R_F__3,10,2,22.36,15.27,119.09,19.64,82.8,18
38,10_2_Se_R_F__4,10,2,18.59,19.15,116.2,15.09,73.0,9
39,10_2_Se_R_M__0,10,2,24.95,21.34,125.85,21.36,76.17,18
40,10_2_Se_R_M__1,10,2,23.45,23.9,132.07,19.45,87.25,18
41,10_2_Se_R_M__2,10,2,24.23,24.19,121.22,20.73,89.8,18
42,10_2_Se_R_M__3,10,2,24.14,15.91,122.71,21.0,79.8,18
43,10_2_Se_R_M__4,10,2,27.27,23.08,120.71,23.73,76.17,18
44,10_2_Se_S_A__0,10,2,19.32,18.12,23.45,14.64,66.5,17
45,10_2_Se_S_A__1,10,2,21.64,16.2,24.28,18.18,90.33,7
46,10_2_Se_S_A__2,10,2,21.36,19.04,22.63,17.82,87.0,17
47,10_2_Se_S_A__3,10,2,26.64,19.68,25.27,24.27,97.75,7
48,10_2_Se_S_A__4,10,2,22.82,22.96,20.71,20.36,76.0,17
49,10_2_Se_S_F__0,10,2,19.23,20.06,24.69,17.18,74.8,17
50,10_2_Se_S_F__1,10,2,19.95,17.91,23.31,17.55,61.83,6
51,10_2_Se_S_F__2,10,2,21.82,17.34,23.92,18.73,74.83,17
52,10_2_Se_S_F__3,10,2,25.5,19.89,22.07,19.0,96.8,7
53,10_2_Se_S_F__4,10,2,21.41,23.31,23.52,19.73,84.8,17
54,10_2_Se_S_M__0,10,2,25.55,20.46,21.19,23.0,95.6,7
55,10_2_Se_S_M__1,10,2,24.64,19.72,23.47,20.64,87.2,17
56,10_2_Se_S_M__2,10,2,21.95,17.57,23.42,16.64,47.17,6
57,10_2_Se_S_M__3,10,2,22.68,20.35,22.98,18.36,63.0,6
58,10_2_Se_S_M__4,10,2,26.09,18.81,22.48,20.82,66.0,17
59,10_4_P_R_A__0,10,4,21.66,2.55,122.36,15.55,54.0,4
60,10_4_P_R_A__1,10,4,21.34,2.51,121.83,13.18,51.25,4
61,10_4_P_R_A__2,10,4,23.18,2.4,127.42,17.73,51.4,4
62,10_4_P_R_A__3,10,4,21.7,2.26,117.39,11.64,33.0,4
63,10_4_P_R_A__4,10,4,24.05,2.64,125.26,18.45,67.0,1
64,10_4_P_R_F__0,10,4,24.3,2.65,112.89,17.45,76.83,1
65,10_4_P_R_F__1,10,4,16.66,2.71,115.31,11.91,43.67,4
66,10_4_P_R_F__2,10,4,23.16,2.6,127.83,15.09,71.4,1
67,10_4_P_R_F__3,10,4,25.95,2.54,124.64,19.36,68.71,1
68,10_4_P_R_F__4,10,4,19.86,2.7,119.39,12.45,74.0,1
69,10_4_P_R_M__0,10,4,22.66,2.58,123.42,13.73,69.25,1
70,10_4_P_R_M__1,10,4,23.91,2.88,127.32,15.55,56.2,4
71,10_4_P_R_M__2,10,4,21.59,2.6,124.36,16.55,50.5,4
72,10_4_P_R_M__3,10,4,24.57,2.64,129.17,14.82,59.2,4
73,10_4_P_R_M__4,10,4,25.91,2.35,117.85,19.36,72.8,1
74,10_4_P_S_A__0,10,4,23.59,2.48,24.23,16.64,62.75,10
75,10_4_P_S_A__1,10,4,21.39,2.45,22.56,13.82,47.5,3
76,10_4_P_S_A__2,10,4,21.91,2.71,23.04,15.18,67.67,10
77,10_4_P_S_A__3,10,4,24.14,2.43,23.64,16.64,63.5,10
78,10_4_P_S_A__4,10,4,18.84,2.4,23.14,12.64,53.75,3
79,10_4_P_S_F__0,10,4,22.64,2.65,23.44,14.64,65.2,10
80,10_4_P_S_F__1,10,4,22.55,2.66,24.3,16.27,50.86,3
81,10_4_P_S_F__2,10,4,21.0,2.37,21.8,15.09,57.17,3
82,10_4_P_S_F__3,10,4,21.45,2.57,24.0,14.45,61.0,10
83,10_4_P_S_F__4,10,4,24.45,2.57,21.7,15.82,66.2,10
84,10_4_P_S_M__0,10,4,24.5,2.41,23.95,17.18,48.17,3
85,10_4_P_S_M__1,10,4,16.57,2.47,21.55,13.0,40.5,3
86,10_4_P_S_M__2,10,4,20.09,2.39,21.09,12.82,53.75,3
87,10_4_P_S_M__3,10,4,26.2,2.56,22.73,19.64,69.6,10
88,10_4_P_S_M__4,10,4,25.0,2.73,24.07,21.0,63.67,10
89,10_4_Se_R_A__0,10,4,24.27,20.27,121.07,17.91,61.4,9
90,10_4_Se_R_A__1,10,4,25.36,22.19,119.6,17.0,87.67,18
91,10_4_Se_R_A__2,10,4,23.73,24.03,127.39,19.0,66.75,9
92,10_4_Se_R_A__3,10,4,21.25,22.3,127.16,15.82,58.25,9
93,10_4_Se_R_A__4,10,4,25.66,18.31,122.78,17.73,60.8,9
94,10_4_Se_R_F__0,10,4,23.52,19.78,120.68,16.09,93.25,18
95,10_4_Se_R_F__1,10,4,21.34,22.25,121.79,15.27,42.0,12
96,10_4_Se_R_F__2,10,4,20.02,23.73,113.06,15.0,63.17,9
97,10_4_Se_R_F__3,10,4,21.3,21.79,118.63,11.91,46.33,12
98,10_4_Se_R_F__4,10,4,23.25,21.87,120.31,17.09,63.17,9
99,10_4_Se_R_M__0,10,4,23.73,22.29,123.37,15.27,44.33,12
100,10_4_Se_R_M__1,10,4,20.55,18.43,116.3,14.91,46.83,12
101,10_4_Se_R_M__2,10,4,20.73,21.31,131.5,13.0,69.5,9
102,10_4_Se_R_M__3,10,4,23.55,22.64,121.01,15.09,46.17,12
103,10_4_Se_R_M__4,10,4,27.3,20.63,119.79,18.36,57.33,9
104,10_4_Se_S_A__0,10,4,17.86,21.59,22.0,12.18,53.33,6
105,10_4_Se_S_A__1,10,4,23.82,22.04,22.46,17.55,59.0,6
106,10_4_Se_S_A__2,10,4,20.05,21.55,23.14,15.55,53.8,6
107,10_4_Se_S_A__3,10,4,22.77,21.17,22.78,16.36,63.75,6
108,10_4_Se_S_A__4,10,4,24.2,17.15,24.88,16.09,61.25,6
109,10_4_Se_S_F__0,10,4,23.55,20.66,21.77,14.91,85.75,17
110,10_4_Se_S_F__1,10,4,20.77,21.84,22.35,13.36,43.14,6
111,10_4_Se_S_F__2,10,4,21.43,18.42,20.74,16.64,78.8,17
112,10_4_Se_S_F__3,10,4,25.61,23.57,21.74,19.36,74.83,17
113,10_4_Se_S_F__4,10,4,25.02,19.32,23.02,15.91,50.86,6
114,10_4_Se_S_M__0,10,4,21.05,19.59,24.66,13.45,62.75,6
115,10_4_Se_S_M__1,10,4,18.7,20.96,26.07,11.36,45.8,6
116,10_4_Se_S_M__2,10,4,20.07,20.39,24.84,13.45,51.6,6
117,10_4_Se_S_M__3,10,4,21.64,18.91,25.31,18.91,78.5,17
118,10_4_Se_S_M__4,10,4,20.91,18.65,22.86,16.27,64.6,6
119,10_8_P_R_A__0,10,8,22.3,2.42,105.79,13.91,75.33,1
120,10_8_P_R_A__1,10,8,23.4,2.52,133.88,15.09,63.75,1
121,10_8_P_R_A__2,10,8,21.5,2.75,121.22,10.73,62.0,4
122,10_8_P_R_A__3,10,8,22.88,2.61,116.5,15.0,49.6,4
123,10_8_P_R_A__4,10,8,22.51,2.78,122.35,14.09,55.75,4
124,10_8_P_R_F__0,10,8,22.15,2.58,120.66,11.36,51.2,4
125,10_8_P_R_F__1,10,8,22.35,2.43,119.34,16.27,56.57,4
126,10_8_P_R_F__2,10,8,23.76,2.5,125.4,14.82,48.14,4
127,10_8_P_R_F__3,10,8,23.7,2.68,120.53,15.09,71.4,1
128,10_8_P_R_F__4,10,8,24.94,2.67,125.44,15.27,54.33,4
129,10_8_P_R_M__0,10,8,23.73,2.5,120.0,17.09,60.2,4
130,10_8_P_R_M__1,10,8,20.5,2.59,117.8,12.45,48.8,4
131,10_8_P_R_M__2,10,8,20.88,2.7,122.23,13.82,47.4,4
132,10_8_P_R_M__3,10,8,22.57,2.47,113.55,13.09,45.0,4
133,10_8_P_R_M__4,10,8,21.91,2.52,119.69,15.64,46.33,4
134,10_8_P_S_A__0,10,8,22.39,2.54,21.95,12.09,37.6,3
135,10_8_P_S_A__1,10,8,23.31,2.57,22.46,14.73,42.6,3
136,10_8_P_S_A__2,10,8,21.8,2.56,21.52,11.27,105.0,7
137,10_8_P_S_A__3,10,8,24.65,2.64,23.22,16.0,61.25,10
138,10_8_P_S_A__4,10,8,22.48,2.72,24.07,15.36,56.5,3
139,10_8_P_S_F__0,10,8,21.83,2.6,24.53,11.36,47.6,3
140,10_8_P_S_F__1,10,8,24.02,2.5,24.21,12.45,41.0,3
141,10_8_P_S_F__2,10,8,20.26,2.62,23.52,12.09,48.0,3
142,10_8_P_S_F__3,10,8,21.65,2.46,22.02,15.0,61.0,10
143,10_8_P_S_F__4,10,8,20.9,2.58,23.72,12.09,36.14,3
144,10_8_P_S_M__0,10,8,24.95,2.67,23.47,15.73,71.25,10
145,10_8_P_S_M__1,10,8,21.95,2.5,24.78,10.64,49.75,3
146,10_8_P_S_M__2,10,8,24.15,2.33,25.22,17.55,91.75,7
147,10_8_P_S_M__3,10,8,23.32,2.58,22.46,13.27,43.67,3
148,10_8_P_S_M__4,10,8,22.41,2.55,25.45,16.18,50.67,3
149,10_8_Se_R_A__0,10,8,22.59,19.98,112.21,14.64,55.75,12
150,10_8_Se_R_A__1,10,8,22.06,23.34,116.36,15.45,59.25,9
151,10_8_Se_R_A__2,10,8,24.27,21.37,113.59,13.27,80.33,18
152,10_8_Se_R_A__3,10,8,23.61,22.59,120.91,10.45,46.67,12
153,10_8_Se_R_A__4,10,8,23.17,23.67,120.28,13.09,54.0,12
154,10_8_Se_R_F__0,10,8,21.35,24.25,119.01,13.45,35.5,12
155,10_8_Se_R_F__1,10,8,21.58,19.55,126.46,12.45,62.6,9
156,10_8_Se_R_F__2,10,8,20.01,20.22,117.42,14.55,69.2,9
157,10_8_Se_R_F__3,10,8,22.49,20.63,121.27,11.64,58.4,9
158,10_8_Se_R_F__4,10,8,21.97,20.93,126.12,13.73,40.86,12
159,10_8_Se_R_M__0,10,8,21.86,19.13,115.85,12.18,50.5,12
160,10_8_Se_R_M__1,10,8,25.72,18.67,113.74,13.82,65.0,9
161,10_8_Se_R_M__2,10,8,22.91,21.77,113.31,14.82,67.0,9
162,10_8_Se_R_M__3,10,8,24.53,20.69,121.19,16.82,58.6,9
163,10_8_Se_R_M__4,10,8,20.41,18.18,123.54,12.36,57.0,9
164,10_8_Se_S_A__0,10,8,24.31,21.54,24.63,14.0,47.75,6
165,10_8_Se_S_A__1,10,8,22.62,21.46,23.45,13.18,80.33,17
166,10_8_Se_S_A__2,10,8,21.77,19.28,23.44,13.18,59.67,6
167,10_8_Se_S_A__3,10,8,20.92,22.13,22.21,16.55,47.8,6
168,10_8_Se_S_A__4,10,8,24.14,21.05,23.19,15.82,36.0,6
169,10_8_Se_S_F__0,10,8,21.69,21.2,24.46,14.27,54.67,6
170,10_8_Se_S_F__1,10,8,22.48,20.32,22.12,13.36,46.0,6
171,10_8_Se_S_F__2,10,8,21.68,20.39,22.18,13.36,50.43,6
172,10_8_Se_S_F__3,10,8,19.22,20.98,20.89,9.36,55.25,6
173,10_8_Se_S_F__4,10,8,22.95,20.43,24.51,13.55,53.83,6
174,10_8_Se_S_M__0,10,8,23.55,21.23,24.79,15.45,56.0,6
175,10_8_Se_S_M__1,10,8,23.19,19.44,24.53,11.91,40.6,6
176,10_8_Se_S_M__2,10,8,22.76,19.02,23.06,13.45,44.8,6
177,10_8_Se_S_M__3,10,8,24.06,23.56,23.04,15.73,49.0,6
178,10_8_Se_S_M__4,10,8,26.55,21.58,24.51,17.09,60.6,6
179,15_2_P_R_A__0,15,2,20.25,2.66,117.76,17.56,68.6,1
180,15_2_P_R_A__1,15,2,21.22,2.65,128.69,17.62,65.5,1
181,15_2_P_R_A__2,15,2,22.84,2.78,113.23,18.19,71.6,1
182,15_2_P_R_A__3,15,2,22.47,2.64,130.99,19.81,75.17,1
183,15_2_P_R_A__4,15,2,25.88,2.18,124.31,21.81,108.25,16
184,15_2_P_R_F__0,15,2,18.56,2.54,120.91,15.12,52.22,4
185,15_2_P_R_F__1,15,2,25.88,2.47,122.72,20.69,87.5,1
186,15_2_P_R_F__2,15,2,22.19,2.57,120.87,19.31,88.86,1
187,15_2_P_R_F__3,15,2,22.66,2.64,116.77,18.75,96.14,16
188,15_2_P_R_F__4,15,2,20.75,2.4,124.52,16.06,64.38,1
189,15_2_P_R_M__0,15,2,22.41,2.81,119.45,18.31,75.86,1
190,15_2_P_R_M__1,15,2,21.53,2.47,120.38,18.38,59.25,4
191,15_2_P_R_M__2,15,2,21.62,2.28,117.86,18.44,84.0,1
192,15_2_P_R_M__3,15,2,20.47,2.48,120.66,16.62,81.8,1
193,15_2_P_R_M__4,15,2,21.41,2.45,125.8,18.0,69.86,1
194,15_2_P_S_A__0,15,2,21.69,2.76,23.14,18.75,61.83,10
195,15_2_P_S_A__1,15,2,21.06,2.37,21.34,16.06,81.25,10
196,15_2_P_S_A__2,15,2,30.03,2.68,23.88,26.44,91.67,7
197,15_2_P_S_A__3,15,2,22.88,2.37,24.52,18.06,60.0,10
198,15_2_P_S_A__4,15,2,23.91,2.53,22.86,20.88,88.6,7
199,15_2_P_S_F__0,15,2,23.34,2.62,23.89,17.56,57.7,10
200,15_2_P_S_F__1,15,2,24.78,2.35,23.99,20.12,79.0,10
201,15_2_P_S_F__2,15,2,25.72,2.2,23.38,19.12,94.0,7
202,15_2_P_S_F__3,15,2,22.72,2.61,23.91,17.62,75.38,10
203,15_2_P_S_F__4,15,2,18.81,2.55,23.24,15.19,60.25,10
204,15_2_P_S_M__0,15,2,23.66,2.5,24.27,17.56,73.67,10
205,15_2_P_S_M__1,15,2,23.56,2.76,23.2,18.38,76.17,10
206,15_2_P_S_M__2,15,2,20.38,2.91,23.47,16.06,64.17,10
207,15_2_P_S_M__3,15,2,23.19,2.6,22.33,20.12,107.2,7
208,15_2_P_S_M__4,15,2,22.62,2.61,23.52,18.75,72.57,10
209,15_2_Se_R_A__0,15,2,22.09,20.13,125.42,17.75,54.14,12
210,15_2_Se_R_A__1,15,2,27.25,19.18,120.95,22.25,100.6,16
211,15_2_Se_R_A__2,15,2,22.19,16.23,121.46,16.88,86.6,18
212,15_2_Se_R_A__3,15,2,20.56,22.47,123.7,16.88,59.67,9
213,15_2_Se_R_A__4,15,2,24.5,17.92,125.2,17.25,70.2,9
214,15_2_Se_R_F__0,15,2,24.28,19.16,116.85,20.0,76.0,18
215,15_2_Se_R_F__1,15,2,24.22,14.03,122.85,20.69,79.11,18
216,15_2_Se_R_F__2,15,2,21.84,19.11,130.84,17.75,66.33,9
217,15_2_Se_R_F__3,15,2,22.88,16.5,118.63,18.06,90.43,18
218,15_2_Se_R_F__4,15,2,24.16,17.1,129.82,19.56,83.75,18
219,15_2_Se_R_M__0,15,2,23.31,19.31,123.42,21.38,95.5,18
220,15_2_Se_R_M__1,15,2,21.81,19.81,123.05,18.62,79.33,18
221,15_2_Se_R_M__2,15,2,23.31,20.19,122.95,17.88,72.67,9
222,15_2_Se_R_M__3,15,2,24.94,18.82,122.38,21.56,77.43,18
223,15_2_Se_R_M__4,15,2,25.09,18.47,121.81,21.31,86.33,18
224,15_2_Se_S_A__0,15,2,23.5,16.96,24.27,17.81,66.5,17
225,15_2_Se_S_A__1,15,2,25.97,18.85,24.32,22.62,94.2,7
226,15_2_Se_S_A__2,15,2,21.22,17.14,22.97,19.56,77.6,17
227,15_2_Se_S_A__3,15,2,24.47,17.2,21.96,20.06,61.14,6
228,15_2_Se_S_A__4,15,2,26.03,21.89,22.55,20.62,70.71,17
229,15_2_Se_S_F__0,15,2,23.59,17.39,22.34,19.88,88.71,7
230,15_2_Se_S_F__1,15,2,24.25,16.37,23.22,20.31,81.88,17
231,15_2_Se_S_F__2,15,2,26.72,12.03,25.46,22.12,69.27,17
232,15_2_Se_S_F__3,15,2,21.56,21.26,22.59,18.0,64.11,6
233,15_2_Se_S_F__4,15,2,21.81,21.6,23.86,17.19,55.7,6
234,15_2_Se_S_M__0,15,2,23.12,18.73,21.99,19.88,108.0,7
235,15_2_Se_S_M__1,15,2,22.69,15.51,23.45,18.75,107.8,7
236,15_2_Se_S_M__2,15,2,22.56,18.42,23.31,16.75,105.0,7
237,15_2_Se_S_M__3,15,2,22.12,14.97,23.52,17.0,85.6,17
238,15_2_Se_S_M__4,15,2,22.5,13.94,23.88,18.56,78.33,17
239,15_4_P_R_A__0,15,4,24.45,2.6,126.26,17.31,87.2,1
